Site_ID,Site_Name,Site_City,Site_Area,Site_Cluster,Site_Room,Site_Type,Site_Scene,Site_Longitude,Site_Latitude,Power_Supply_Type,Power_Supply_PV_Panels_Current,Power_Supply_PV_Specification_Current,Power_Supply_PV_Annual_Current,Power_Supply_PV_Panels_Tobe,Power_Supply_PV_Specification_Tobe,Power_Supply_PV_Annual_Tobe,Rectifier_Model_Current,Rectifier_Deployment_Year,Rectifier_Efficiency_Current,Rectifier_Efficiency_Tobe,Battery_Type_Current,Cooling_Type,Power_Consumption_Aircondition,Power_Consumption_FCS,Power_Consumption_Aircondition_Outdoor,Power_Consumption_FCS_Outdoor,Cooling_Aircondition_Working_Hours_Current,Cooling_FCS_Working_Hours_Current,Cooling_Aircondition_Working_Hours_Tobe,Cooling_FCS_Working_Hours_Tobe,Cooling_Aircondition_Working_Hours_Outdoor,Cooling_FCS_Working_Hours_Outdoor,Data_Volume_234G_Month,Data_Volume_5G_Month,Alpha,Power_Star_Activation,Power_Star_Efficiency_234G,Power_Star_Efficiency_5G,Power_Consumption_Site_Radio_234G,Power_Consumption_Site_Tower_234G,Power_Consumption_Site_Radio_5G,grid_id,Power_Supply_PV_Out,5G_Deployment_Year,Power_Saving_Total
227,Site227,娄底,涟源,Cluster_10,Outdoor,Macro,Suburban,111.660333,27.696483,grid+generator,0,0,0,12,375,0,Huawei,2020,0.97,0.97,Li-battery,FCS,450,70,450,70,0,8760,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,3563,985.8099976,2020,0
228,Site228,娄底,涟源,Cluster_10,Outdoor,Macro,Suburban,111.660333,27.696483,grid+generator,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,3563,985.8099976,2025,0
229,Site229,娄底,涟源,Cluster_10,Indoor,Macro,Rural,111.94023,27.8552,grid,0,0,0,12,375,0,Huawei,2020,0.97,0.97,Li-battery+high-temperature lead-acid battery,FCS,1500,210,450,70,0,8760,200,8560,200,8560,35,1,843,0,0.05,0.1,3702,3400,1493,5923,1001.697998,2032,0
230,Site230,娄底,涟源,Cluster_10,Indoor,Macro,Rural,111.60175,27.61554,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,2358,969.7390137,2032,0
231,Site231,娄底,涟源,Cluster_10,Indoor,Macro,Rural,111.654001,27.69486,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,,843,0,0.05,0,3935,0,0,3563,985.8099976,2026,0
232,Site232,娄底,涟源,Cluster_10,Indoor,Macro,Rural,111.654001,27.69486,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,3563,985.8099976,2030,0
233,Site233,娄底,涟源,Cluster_10,Indoor,Macro,Rural,111.88608,27.9833,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,,843,0,0.05,0,3935,0,0,7388,1014.116486,2032,0
234,Site234,娄底,涟源,Cluster_10,Indoor,Macro,Rural,111.67614,27.99803,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,1,843,0,0.05,0.1,2542,2000,1493,7557,983.3864329,2021,0
235,Site235,娄底,涟源,Cluster_10,Indoor,Macro,Urban,111.82546,27.9517,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,22,,843,0,0.05,0,2542,2000,0,7081,1008.820984,2024,0
236,Site236,娄底,涟源,Cluster_10,Indoor,Macro,Urban,111.64256,27.53076,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,,983.3864329,2032,0
237,Site237,娄底,涟源,Cluster_10,Indoor,Macro,Urban,111.947904,27.561191,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,1828,986.9050293,2028,0
238,Site238,娄底,涟源,Cluster_10,Indoor,Macro,Urban,111.697697,27.695239,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.1,3702,3400,2019,3567,986.539978,2033,0
239,Site239,娄底,涟源,Cluster_10,Indoor,Macro,Suburban,111.79011,27.94545,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,3,843,0,0.05,0.1,2542,2000,2019,6975,989.8280029,2036,0
240,Site240,娄底,涟源,Cluster_10,Indoor,Macro,Suburban,111.85733,27.74623,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,1,843,0,0.05,0.1,2542,2000,1493,4359,986.9054871,2033,0
241,Site241,娄底,涟源,Cluster_10,Outdoor,Macro,Suburban,111.84528,27.78947,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,5012,993.4799805,2027,0
242,Site242,娄底,涟源,Cluster_10,Indoor,Macro,Suburban,111.646933,27.70171,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,15,,843,0,0.02,0,1835,1500,0,3695,986.1749878,2028,0
243,Site243,娄底,涟源,Cluster_10,Indoor,Macro,Suburban,111.62285,27.990299,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,15,1,843,0,0.02,0.1,1835,1500,1493,7458,977.4089966,2028,0
244,Site244,娄底,涟源,Cluster_10,Indoor,Macro,Rural,111.86641,27.79542,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,4,,843,0,0.02,0,1300,1000,0,5147,987.6359863,2025,0
245,Site245,娄底,涟源,Cluster_11,Outdoor,Macro,Rural,111.6276,27.78015,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,4857,992.2014771,2035,0
246,Site246,娄底,涟源,Cluster_11,Indoor,Macro,Rural,111.71976,27.56098,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,4,,843,0,0.02,0,1300,1000,0,1711,941.2490234,2024,0
247,Site247,娄底,涟源,Cluster_11,Indoor,Macro,Rural,111.88378,27.74188,grid+solar,12,400,7,0,375,0,non-Huawei,2018,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,4361,986.539978,2039,0
248,Site248,娄底,涟源,Cluster_11,Indoor,Macro,Rural,111.76105,27.90988,grid+solar,12,400,7,0,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,6561,998.228241,2027,0
249,Site249,娄底,涟源,Cluster_11,Indoor,Macro,Rural,111.67252,27.68921,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2019,3565,985.8094788,2028,0
250,Site250,娄底,涟源,Cluster_11,Outdoor,Macro,Urban,111.64673,27.77336,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,4728,989.0969849,2031,0
251,Site251,娄底,涟源,Cluster_11,Outdoor,Macro,Urban,111.73375,27.59509,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,2129,970.4689941,2019,0
252,Site252,娄底,涟源,Cluster_11,Indoor,Macro,Suburban,111.661083,27.694617,grid,0,0,0,12,375,0,Huawei,2020,0.97,0.97,High-temperature lead-acid battery,FCS,1500,210,450,70,0,8760,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2019,3564,985.4439697,2024,0
253,Site253,娄底,涟源,Cluster_11,Outdoor,Macro,Suburban,111.67731,27.70908,grid+generator,0,0,0,12,375,0,Huawei,2020,0.97,0.97,Li-battery,FCS,450,70,450,70,0,8760,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,3830,987.6359863,2026,0
254,Site254,娄底,涟源,Cluster_11,Outdoor,Macro,Suburban,111.90105,27.95704,grid+generator,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,7088,982.1569824,2023,0
255,Site255,娄底,涟源,Cluster_11,Indoor,Macro,Rural,111.75553,27.83766,grid,0,0,0,12,375,0,Huawei,2020,0.97,0.97,Li-battery+high-temperature lead-acid battery,FCS,1500,210,450,70,0,8760,200,8560,200,8560,35,1,843,0,0.05,0.1,3702,3400,1493,5656,996.0369873,2034,0
256,Site256,娄底,涟源,Cluster_11,Indoor,Macro,Rural,111.72776,27.76816,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,4605,993.4799805,2030,0
257,Site257,娄底,涟源,Cluster_11,Indoor,Macro,Rural,111.74791,27.55414,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,,843,0,0.05,0,3935,0,0,1714,931.3880005,2027,0
258,Site258,娄底,涟源,Cluster_11,Indoor,Macro,Rural,111.57331,27.62631,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,2607,976.6779785,2031,0
259,Site259,娄底,涟源,Cluster_11,Indoor,Macro,Rural,111.80355,27.59522,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,,843,0,0.05,0,3935,0,0,2136,972.6610107,2027,0
260,Site260,娄底,涟源,Cluster_11,Indoor,Macro,Rural,111.83399,27.69691,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,1,843,0,0.05,0.1,2542,2000,1493,3714,983.617981,2032,0
261,Site261,娄底,涟源,Cluster_11,Indoor,Macro,Urban,111.88595,27.77358,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,22,,843,0,0.05,0,2542,2000,0,4752,989.4619751,2024,0
262,Site262,娄底,涟源,Cluster_11,Indoor,Macro,Urban,111.62868,27.66803,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,3151,980.1484985,2033,0
263,Site263,娄底,涟源,Cluster_11,Indoor,Macro,Urban,111.84981,27.81974,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,5410,998.2284851,2034,0
264,Site264,娄底,涟源,Cluster_11,Indoor,Macro,Urban,111.804375,27.492246,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.1,3702,3400,2019,1184,983.617981,2033,0
265,Site265,娄底,涟源,Cluster_11,Indoor,Macro,Suburban,111.868001,27.668801,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,3,843,0,0.05,0.1,2542,2000,2019,3313,977.0440063,2039,0
266,Site266,娄底,涟源,Cluster_11,Indoor,Macro,Suburban,111.61385,27.91653,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,1,843,0,0.05,0.1,2542,2000,1493,6650,998.2279968,2039,0
267,Site267,娄底,涟源,Cluster_11,Outdoor,Macro,Suburban,111.78732,27.64066,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,2759,983.617981,2041,0
268,Site268,娄底,涟源,Cluster_11,Indoor,Macro,Suburban,111.67691,27.91085,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,15,,843,0,0.02,0,1835,1500,0,6553,1006.994019,2030,0
269,Site269,娄底,涟源,Cluster_11,Indoor,Macro,Suburban,111.69393,27.86722,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,15,1,843,0,0.02,0.1,1835,1500,1493,6017,1006.263977,2036,0
270,Site270,娄底,涟源,Cluster_11,Indoor,Macro,Rural,111.79421,27.9541,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,4,,843,0,0.02,0,1300,1000,0,7077,971.9299927,2026,0
271,Site271,娄底,涟源,Cluster_11,Outdoor,Macro,Rural,111.62263,27.76112,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,4595,988.7314758,2026,0
272,Site272,娄底,涟源,Cluster_12,Indoor,Macro,Rural,111.83927,27.94411,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,4,,843,0,0.02,0,1300,1000,0,6980,978.1389771,2032,0
273,Site273,娄底,涟源,Cluster_12,Indoor,Macro,Rural,111.80663,27.6931,grid+solar,12,400,7,0,375,0,non-Huawei,2018,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,3578,985.0789948,2033,0
274,Site274,娄底,涟源,Cluster_12,Indoor,Macro,Rural,111.83457,27.56957,grid+solar,12,400,7,0,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,1916,967.1820068,2020,0
275,Site275,娄底,涟源,Cluster_12,Indoor,Macro,Rural,111.691433,27.699217,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2019,3700,988.0009766,2031,0
276,Site276,娄底,涟源,Cluster_12,Outdoor,Macro,Urban,111.677222,27.696111,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,3565,985.8094788,2038,0
277,Site277,娄底,涟源,Cluster_12,Outdoor,Macro,Urban,111.677222,27.696111,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,3565,985.8094788,2032,0
278,Site278,娄底,涟源,Cluster_12,Indoor,Macro,Suburban,111.66099,27.69763,grid,0,0,0,12,375,0,Huawei,2020,0.97,0.97,High-temperature lead-acid battery,FCS,1500,210,450,70,0,8760,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2019,3697,987.6359863,2027,0
279,Site279,娄底,涟源,Cluster_12,Outdoor,Macro,Suburban,111.66099,27.69763,grid+generator,0,0,0,12,375,0,Huawei,2020,0.97,0.97,Li-battery,FCS,450,70,450,70,0,8760,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,3697,987.6359863,2028,0
280,Site280,娄底,涟源,Cluster_12,Outdoor,Macro,Suburban,111.62267,27.69781,grid+generator,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,3693,983.8009949,2034,0
281,Site281,娄底,涟源,Cluster_12,Indoor,Macro,Rural,111.8628,27.57443,grid,0,0,0,12,375,0,Huawei,2020,0.97,0.97,Li-battery+high-temperature lead-acid battery,FCS,1500,210,450,70,0,8760,200,8560,200,8560,35,1,843,0,0.05,0.1,3702,3400,1493,1919,975.947998,2022,0
282,Site282,娄底,涟源,Cluster_12,Indoor,Macro,Rural,111.860696,27.538388,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,1546,960.2420044,2034,0
283,Site283,娄底,涟源,Cluster_12,Indoor,Macro,Rural,111.6235,27.8817,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,,843,0,0.05,0,3935,0,0,6229,996.0369873,2035,0
284,Site284,娄底,涟源,Cluster_12,Indoor,Macro,Rural,111.75625,27.67177,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,3302,987.6359863,2025,0
285,Site285,娄底,涟源,Cluster_12,Indoor,Macro,Rural,111.80708,27.82587,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,,843,0,0.05,0,3935,0,0,5536,999.5069885,2029,0
286,Site286,娄底,涟源,Cluster_12,Indoor,Macro,Rural,111.65863,27.7997,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,1,843,0,0.05,0.1,2542,2000,1493,5126,995.3060303,2032,0
287,Site287,娄底,涟源,Cluster_12,Indoor,Macro,Urban,111.91846,27.52825,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,22,,843,0,0.05,0,2542,2000,0,1472,985.0789795,2037,0
288,Site288,娄底,涟源,Cluster_12,Indoor,Macro,Urban,111.6625,27.700277,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,3697,987.6359863,2019,0
289,Site289,娄底,涟源,Cluster_12,Indoor,Macro,Urban,111.85421,27.85715,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,5914,1001.515503,2024,0
290,Site290,娄底,涟源,Cluster_12,Indoor,Macro,Urban,111.70332,27.92512,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.1,3702,3400,2019,6761,1000.237488,2026,0
291,Site291,娄底,涟源,Cluster_12,Indoor,Macro,Suburban,111.738132,27.77895,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,3,843,0,0.05,0.1,2542,2000,2019,4868,994.940979,2025,0
292,Site292,娄底,涟源,Cluster_12,Indoor,Macro,Suburban,111.90495,27.53045,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,1,843,0,0.05,0.1,2542,2000,1493,1471,980.6959839,2028,0
293,Site293,娄底,涟源,Cluster_12,Outdoor,Macro,Suburban,111.88712,27.5955,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,2144,979.9654846,2035,0
294,Site294,娄底,涟源,Cluster_12,Indoor,Macro,Suburban,111.89633,27.58975,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,15,,843,0,0.02,0,1835,1500,0,2145,982.7049866,2032,0
295,Site295,娄底,涟源,Cluster_12,Indoor,Macro,Suburban,111.62939,27.65255,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,15,1,843,0,0.02,0.1,1835,1500,1493,3010,978.8694763,2037,0
296,Site296,娄底,涟源,Cluster_12,Indoor,Macro,Rural,111.64487,27.7527,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,4,,843,0,0.02,0,1300,1000,0,4467,992.0189819,2024,0
297,Site297,娄底,涟源,Cluster_13,Outdoor,Macro,Rural,111.65812,27.69408,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,3563,985.8099976,2035,0
298,Site298,娄底,涟源,Cluster_13,Indoor,Macro,Rural,111.65812,27.69408,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,4,,843,0,0.02,0,1300,1000,0,3563,985.8099976,2043,0
299,Site299,娄底,涟源,Cluster_13,Indoor,Macro,Rural,111.84993,27.98095,grid+solar,12,400,7,0,375,0,non-Huawei,2018,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,7384,992.5669861,2028,0
300,Site300,娄底,涟源,Cluster_13,Indoor,Macro,Rural,111.675961,27.681707,grid+solar,12,400,7,0,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,3432,978.1392365,2025,0
301,Site301,娄底,涟源,Cluster_13,Indoor,Macro,Rural,111.7089,27.59029,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2019,2126,978.1389771,2027,0
302,Site302,娄底,涟源,Cluster_13,Outdoor,Macro,Urban,111.69871,27.59586,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,2125,979.5999756,2028,0
303,Site303,娄底,涟源,Cluster_13,Outdoor,Macro,Urban,111.927,27.834,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,5673,1002.611023,2026,0
304,Site304,娄底,涟源,Cluster_13,Indoor,Macro,Suburban,111.653889,27.704444,grid,0,0,0,12,375,0,Huawei,2020,0.97,0.97,High-temperature lead-acid battery,FCS,1500,210,450,70,0,8760,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2019,3696,985.4439697,2041,0
305,Site305,娄底,涟源,Cluster_13,Outdoor,Macro,Suburban,111.653889,27.704444,grid+generator,0,0,0,12,375,0,Huawei,2020,0.97,0.97,Li-battery,FCS,450,70,450,70,0,8760,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,3696,985.4439697,2033,0
306,Site306,娄底,涟源,Cluster_13,Outdoor,Macro,Suburban,111.870155,27.899421,grid+generator,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,6467,1002.245972,2031,0
307,Site307,娄底,涟源,Cluster_13,Indoor,Macro,Rural,111.67606,27.68995,grid,0,0,0,12,375,0,Huawei,2020,0.97,0.97,Li-battery+high-temperature lead-acid battery,FCS,1500,210,450,70,0,8760,200,8560,200,8560,35,1,843,0,0.05,0.1,3702,3400,1493,3565,985.8094788,2024,0
308,Site308,娄底,涟源,Cluster_13,Indoor,Macro,Rural,111.65031,27.69318,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,3562,983.9840088,2036,0
309,Site309,娄底,涟源,Cluster_13,Indoor,Macro,Rural,111.70493,27.86739,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,,843,0,0.05,0,3935,0,0,6018,1001.515991,2023,0
310,Site310,娄底,涟源,Cluster_13,Indoor,Macro,Rural,111.672122,27.704954,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,3698,987.2709961,2035,0
311,Site311,娄底,涟源,Cluster_13,Indoor,Macro,Rural,111.84011,27.64942,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,,843,0,0.05,0,3935,0,0,2892,984.7139893,2025,0
